"geoid","neighborhood","parks_mindist_topcode","parks_aland_1mi","library_mindist_topcode","grocery_mindist_topcode","n_grocery_0.5mi","walk_duration","walk_distance","walk_status","transit_duration","transit_distance","transit_status","NAME","variable","median_rent_est","median_rent_moe","tract_aland_for_landuse","singlefamily_aland","multifamily_aland","tract_pct_singlefamily","tract_pct_multifamily","walk_distance_bool","transit_duration_bool","median_rent_bool","parks_aland_1mi_scale","library_mindist_scale","n_grocery_0.5mi_scale","median_rent_bool_score","walk_distance_bool_score","transit_duration_bool_score","parks_aland_1mi_scale_score","library_mindist_scale_score","n_grocery_0.5mi_scale_score","tract_pct_singlefamily_score","tract_pct_multifamily_score","overall_score","avg_nhood_score","avg_nhood_rank"
"17031230200","Humboldt Park",0.123552551318574,0.353968892811158,0.25812804773564,0.259971967764275,3,110.05,5.29283998484849,"OK",43.6666666666667,5.55630137878788,"OK","Census Tract 2302, Cook County, Illinois","DP04_0134",1113,106,2311842.74106252,340149.547763534,754299.890682456,0.147133514629633,0.326276470836325,0,1,1,0.369641706474264,0.176896642446801,0.272727272727273,0.25,0,0.15,0.0369641706474264,0.0176896642446801,0.0272727272727273,0.00735667573148167,0.0326276470836325,0.521910884979948,0.378846497764744,28
"17031320400","Grant Park",0,0.55542265395388,0.298286279200295,0.462985310850181,1,18.7833333333333,0.90720196969697,"OK",12.1,0.938891901515151,"OK","Census Tract 3204, Cook County, Illinois","DP04_0134",2398,213,8616778.92661548,0,181604.27218226,0,0.0210756564290307,1,1,0,0.580015311490968,0.15308107730668,0.0909090909090909,0,0.15,0.15,0.0580015311490968,0.015308107730668,0.00909090909090909,0,0.00210756564290307,0.384508113613577,0.400347167166088,23
"17031310400","Lower West Side",0.0944585761706277,0.100293066891112,0.462399460566018,0.278830312259044,2,75.3333333333333,3.67043975,"OK",34.7,5.37796784090909,"OK","Census Tract 3104, Cook County, Illinois","DP04_0134",1341,194,1325775.15420806,86951.2068079818,397444.039309862,0.0655851835297977,0.299782386212593,0,1,0,0.104733780696787,0.0987500826880031,0.181818181818182,0,0,0.15,0.0104733780696787,0.00987500826880031,0.0181818181818182,0.00327925917648989,0.0299782386212593,0.221787702318046,0.428896666318064,16
"17031060800","Lake View",0.0694650981012013,0.710764485271237,0.542130087123642,0.349014249975166,5,100.15,4.95667815909091,"OK",27.75,5.13936129545455,"OK","Census Tract 608, Cook County, Illinois","DP04_0134",1640,66,1964031.57201546,0,831573.02870559,0,0.4234010494303,0,1,0,0.742235271439874,0.0842269891495034,0.454545454545455,0,0,0.15,0.0742235271439874,0.00842269891495034,0.0454545454545455,0,0.04234010494303,0.320440876456513,0.250535371511878,69
"17031301802","Little Village",0.585253227812712,0.0403712468323481,0.26768953167711,0.170462307366971,6,142.15,6.80836437121212,"OK",44.6333333333333,8.33569481060606,"OK","Census Tract 3018.02, Cook County, Illinois","DP04_0134",780,69,3742336.25395364,689095.243301178,891257.954170038,0.184135042000348,0.238155497980294,0,1,1,0.0421587796969611,0.170578149544004,0.545454545454545,0.25,0,0.15,0.00421587796969611,0.0170578149544004,0.0545454545454545,0.0092067521000174,0.0238155497980294,0.508841449367598,0.440913210827454,7
"17031730100","Washington Heights",0.0618963261632276,0.112783080654482,0.391923828136323,0.433023786570979,1,236.016666666667,11.6668658787879,"OK",51.7,12.892831280303,"OK","Census Tract 7301, Cook County, Illinois","DP04_0134",883,742,7066474.77816105,3704365.63486141,29376.382732312,0.52421691878244,0.00415714817565043,0,0,1,0.117776819492408,0.116507294753969,0.0909090909090909,0.25,0,0,0.0117776819492408,0.0116507294753969,0.00909090909090909,0.026210845939122,0.000415714817565043,0.309145881272234,0.302694624407637,48
"17031360200","Oakland",0.0327734504552297,0.480256303512143,0.516025075714571,0.490269665202862,1,97.9166666666667,4.86409384848485,"OK",40.75,5.05050521212121,"OK","Census Tract 3602, Cook County, Illinois","DP04_0134",899,100,2485267.64736497,108548.235395436,704288.821526374,0.043676678248528,0.283385502673365,0,1,1,0.501520792308602,0.088487918736413,0.0909090909090909,0.25,0,0.15,0.0501520792308602,0.0088487918736413,0.00909090909090909,0.0021838339124264,0.0283385502673365,0.498614164375174,0.435152352076818,10
"17031836100","Washington Park",0.136507879895966,0.540932937558963,0.560862847063196,0.378553681749608,1,127.733333333333,6.31934522727273,"OK",32.7166666666667,6.70459537878788,"OK","Census Tract 8361, Cook County, Illinois","DP04_0134",691,306,9233448.58967447,159513.743616759,903421.194285151,0.0172756410638533,0.0978422293156453,0,1,1,0.564884028479037,0.081413816595053,0.0909090909090909,0.25,0,0.15,0.0564884028479037,0.0081413816595053,0.00909090909090909,0.000863782053192666,0.00978422293156453,0.484368698583075,0.471799403182856,2
"17031570200","Archer Heights",0.13592157318957,0.0428121772094041,0.941643176218101,0.364998450452236,2,186.3,9.19940079545455,"OK",64.9833333333333,12.3354613030303,"OK","Census Tract 5702, Cook County, Illinois","DP04_0134",636,200,19025637.0893939,1791310.67419297,251065.280266958,0.0941524673143045,0.013196156275204,0,0,1,0.0447077880654486,0.0484918131613011,0.181818181818182,0.25,0,0,0.00447077880654486,0.00484918131613012,0.0181818181818182,0.00470762336571522,0.0013196156275204,0.283529017297729,0.300944063154493,51
"17031280900","United Center",0.221509025840562,0.0382020950034432,0.347871985153672,0.396008889788553,1,74.35,3.52317477272727,"OK",36.7833333333333,3.82019021212121,"OK","Census Tract 2809, Cook County, Illinois","DP04_0134",523,96,1235399.16440272,288266.207049618,257233.897246769,0.233338515482149,0.208219257919875,0,1,1,0.0398935835175163,0.131260885942314,0.0909090909090909,0.25,0,0.15,0.00398935835175163,0.0131260885942314,0.00909090909090909,0.0116669257741074,0.0208219257919875,0.458695207602987,0.357154890786201,32
